x,y,z,text,input_text,bot_text,intent,entities,action,cluster
-0.05119122,-3.709161,0.44235957,"máy tiệt trùng uv đã có chưa ạ query_knowledge_base object_type:may_tiet_trung action_query_babe_kb Hiện tại sản phẩm Máy tiệt trùng  shop đang có những giá sau ạ:
<500-1M> <1M-2M> <Tất cả giá> máy tiệt trùng uv đã có chưa ạ",máy tiệt trùng uv đã có chưa ạ,"Hiện tại sản phẩm Máy tiệt trùng  shop đang có những giá sau ạ:
<500-1M> <1M-2M> <Tất cả giá>",query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,0
-5.468654,7.4341946,4.304721,"/confirm_attribute_value{price: 500-1M} confirm_attribute_value price:500-1M action_query_babe_kb Mời bạn click vào Xem chi tiết để tham khảo sản phẩm hiện có tại shop nhé!
<card sp 1> <card sp 2> <card sp 3> /confirm_attribute_value{price: 500-1M}","/confirm_attribute_value{""price"": ""500-1M""}","Mời bạn click vào ""Xem chi tiết"" để tham khảo sản phẩm hiện có tại shop nhé!
<card sp 1> <card sp 2> <card sp 3>",confirm_attribute_value,['price:500-1M'],action_query_babe_kb,1
-2.8832383,-0.9584606,0.7203267,"máy tiệt trùng uv đã có chưa ạ query_knowledge_base object_type:may_tiet_trung action_query_babe_kb Máy tiệt trùng uv hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4> máy tiệt trùng uv đã có chưa ạ",máy tiệt trùng uv đã có chưa ạ,"Máy tiệt trùng uv hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,0
3.5861812,-10.208497,-0.7151002,Khi nào thì có hàng mới ạ query_knowledge_base nan action_query_babe_kb Khoảng một tuần sau có hàng ạ Khi nào thì có hàng mới ạ,Khi nào thì có hàng mới ạ,Khoảng một tuần sau có hàng ạ,query_knowledge_base,,action_query_babe_kb,0
13.328296,3.486925,2.7585843,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4 send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4 action_handle_send_link_only Bạn đang tìm kiếm thông tin gì ạ? https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,Bạn đang tìm kiếm thông tin gì ạ?,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,0
-3.3251245,3.300136,2.8395288,"E ơi còn giấy khô này k? query_knowledge_base object_type:khan,mention:này action_query_babe_kb Khăn khô đa năng MIPBI 600gr hiện đang có giá là 61.000 (Giá gốc: 70.000) mời bạn tham khảo:
<show card sp> E ơi còn giấy khô này k?",E ơi còn giấy khô này k?,"Khăn khô đa năng MIPBI 600gr hiện đang có giá là 61.000 (Giá gốc: 70.000) mời bạn tham khảo:
<show card sp>",query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,1
-3.1467385,7.254457,-0.8578377,"Đúng r ạ agree nan utter_agree Dạ, vâng ạ.  Đúng r ạ",Đúng r ạ,"Dạ, vâng ạ. ",agree,,utter_agree,1
13.328334,3.4869132,2.7585883,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4 send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4 action_handle_send_link_only Bạn đang tìm kiếm thông tin gì ạ? https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,Bạn đang tìm kiếm thông tin gì ạ?,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,0
-4.7422395,5.4949555,3.7289593,"E ơi còn giấy khô này k? query_knowledge_base object_type:khan,mention:này action_query_babe_kb Khăn khô đa năng MIPBI 600gr  hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4> E ơi còn giấy khô này k?",E ơi còn giấy khô này k?,"Khăn khô đa năng MIPBI 600gr  hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,1
13.781819,3.0690186,4.8826337,https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A send_link url:https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A action_handle_send_link_only Bạn đang tìm kiếm thông tin gì ạ? https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A,https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A,Bạn đang tìm kiếm thông tin gì ạ?,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A']""]",action_handle_send_link_only,0
