original_id,conv_id,input_text,intent,entities,action_1,policy_1,bot_text,cv_outputs,Unnamed: 9,x,y,combine_text,kmeans_cluster,gm_cluster,hc_cluster,short_input_texts,short_bot_texts,short_entities
0.1,0,máy tiệt trùng uv đã có chưa ạ,query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,,"Hiện tại sản phẩm Máy tiệt trùng  shop đang có những giá sau ạ:
<500-1M> <1M-2M> <Tất cả giá>",,,-14.028295,20.373463,máy tiệt trùng uv đã có chưa ạ query knowledge base   object type may tiet trung  ,3,1,5,máy tiệt trùng uv đã có chưa ạ,Hiện tại sản phẩm Máy tiệt trùng  shop đang có nhữ-<br>,['object_type:may_tiet_trung']
0.1,0,"/confirm_attribute_value{""price"": ""500-1M""}",confirm_attribute_value,['price:500-1M'],action_query_babe_kb,,"Mời bạn click vào ""Xem chi tiết"" để tham khảo sản phẩm hiện có tại shop nhé!
<card sp 1> <card sp 2> <card sp 3>",,,4.613296,-8.389407, confirm attribute value  price    500 1m   confirm attribute value   price 500 1m  ,1,0,1,"/confirm_attribute_value{""price"": ""500-1M""}","Mời bạn click vào ""Xem chi tiết"" để tham khảo sản -<br> phẩm hiện có tại shop nhé!
<card sp 1> <card sp 2>-<br>",['price:500-1M']
0.2,1,máy tiệt trùng uv đã có chưa ạ,query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,,"Máy tiệt trùng uv hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",,,-14.028295,20.373463,máy tiệt trùng uv đã có chưa ạ query knowledge base   object type may tiet trung  ,3,1,5,máy tiệt trùng uv đã có chưa ạ,"Máy tiệt trùng uv hiện hết hàng mời bạn tham khảo -<br> các sản phẩm khác của shop
Recommend <sp1> <sp2> <-<br>",['object_type:may_tiet_trung']
0.2,1,Khi nào thì có hàng mới ạ,query_knowledge_base,,action_query_babe_kb,,Khoảng một tuần sau có hàng ạ,,,-2.557778,0.27746892,khi nào thì có hàng mới ạ query knowledge base nan,1,0,2,Khi nào thì có hàng mới ạ,Khoảng một tuần sau có hàng ạ,nan
1.1,2,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'khan', 
'product_id': '1260',
'product_name':""Khăn khô đa năng MIPBI 600gr '''}]",,-17.962072,-26.828747, khan send link   url   https   scontent xx fbcdn net v t1 15752 9 92827724 2847726851949741 1696232900455825408 n jpg  nc cat 103  nc sid b96e70  nc ohc vw1phh8mnn0ax8ajw4t  nc ad z m  nc cid 0  nc zor 9  nc ht scontent xx oh 12087dbec406fb17040323a417f4ea20 oe 5eb568f4    ,5,3,0, khan,Bạn đang tìm kiếm thông tin gì ạ?,url
1.1,2,E ơi còn giấy khô này k?,query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,,"Khăn khô đa năng MIPBI 600gr hiện đang có giá là 61.000 (Giá gốc: 70.000) mời bạn tham khảo:
<show card sp>",,,-2.4092693,0.89167887,e ơi còn giấy khô này k  query knowledge base   object type khan   mention này  ,1,0,2,E ơi còn giấy khô này k?,"Khăn khô đa năng MIPBI 600gr hiện đang có giá là 6-<br> 1.000 (Giá gốc: 70.000) mời bạn tham khảo:
<show c-<br>","['object_type:khan','mention:này']"
1.1,2,Đúng r ạ,agree,,utter_agree,,"Dạ, vâng ạ. ",,,-8.662312,11.28165,đúng r ạ agree nan,3,1,2,Đúng r ạ,"Dạ, vâng ạ. ",nan
1.2,3,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'khan', 
'product_id': '1260',
'product_name':""Khăn khô đa năng MIPBI 600gr '''}]",,-18.317005,-27.149271, khan send link   url   https   scontent xx fbcdn net v t1 15752 9 92827724 2847726851949741 1696232900455825408 n jpg  nc cat 103  nc sid b96e70  nc ohc vw1phh8mnn0ax8ajw4t  nc ad z m  nc cid 0  nc zor 9  nc ht scontent xx oh 12087dbec406fb17040323a417f4ea20 oe 5eb568f4    ,5,3,0, khan,Bạn đang tìm kiếm thông tin gì ạ?,url
1.2,3,E ơi còn giấy khô này k?,query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,,"Khăn khô đa năng MIPBI 600gr  hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",,,-2.4092686,0.89167833,e ơi còn giấy khô này k  query knowledge base   object type khan   mention này  ,1,0,2,E ơi còn giấy khô này k?,"Khăn khô đa năng MIPBI 600gr  hiện hết hàng mời bạ-<br> n tham khảo các sản phẩm khác của shop
Recommend <-<br>","['object_type:khan','mention:này']"
2.1,4,https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'bang_ve', 'product_id': '2293', 'product_name': 'BẢNG VẼ HOLLA 2 in 1', }]",,-18.966705,-25.455816, bang ve send link   url   https   scontent xx fbcdn net v t1 15752 9 93088148 260667535096586 5162228618784407552 n jpg  nc cat 103  nc sid b96e70  nc ohc x7wswdcvmn8ax8w1gx1  nc ad z m  nc cid 0  nc zor 9  nc ht scontent xx oh 6b66cfd67139987f2f1390eeb9aed46d oe 5eb7e07a    ,5,3,0, bang_ve,Bạn đang tìm kiếm thông tin gì ạ?,url
