original_id,conv_id,input_text,intent,entities,action_1,policy_1,bot_text,cv_outputs,
0.1,0,máy tiệt trùng uv đã có chưa ạ,query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,,"Hiện tại sản phẩm Máy tiệt trùng  shop đang có những giá sau ạ:
<500-1M> <1M-2M> <Tất cả giá>",,
0.1,0,"/confirm_attribute_value{""price"": ""500-1M""}",confirm_attribute_value,['price:500-1M'],action_query_babe_kb,,"Mời bạn click vào ""Xem chi tiết"" để tham khảo sản phẩm hiện có tại shop nhé!
<card sp 1> <card sp 2> <card sp 3>",,
0.2,1,máy tiệt trùng uv đã có chưa ạ,query_knowledge_base,['object_type:may_tiet_trung'],action_query_babe_kb,,"Máy tiệt trùng uv hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",,
0.2,1,Khi nào thì có hàng mới ạ,query_knowledge_base,,action_query_babe_kb,,Khoảng một tuần sau có hàng ạ,,
1.1,2,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'khan', 
'product_id': '1260',
'product_name':""Khăn khô đa năng MIPBI 600gr '''}]",
1.1,2,E ơi còn giấy khô này k?,query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,,"Khăn khô đa năng MIPBI 600gr hiện đang có giá là 61.000 (Giá gốc: 70.000) mời bạn tham khảo:
<show card sp>",,
1.1,2,Đúng r ạ,agree,,utter_agree,,"Dạ, vâng ạ. ",,
1.2,3,https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/92827724_2847726851949741_1696232900455825408_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=Vw1pHh8MnN0AX8aJw4t&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=12087dbec406fb17040323a417f4ea20&oe=5EB568F4']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'khan', 
'product_id': '1260',
'product_name':""Khăn khô đa năng MIPBI 600gr '''}]",
1.2,3,E ơi còn giấy khô này k?,query_knowledge_base,"['object_type:khan','mention:này']",action_query_babe_kb,,"Khăn khô đa năng MIPBI 600gr  hiện hết hàng mời bạn tham khảo các sản phẩm khác của shop
Recommend <sp1> <sp2> <sp3> <sp4>",,
2.1,4,https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A,send_link,"[""url:['https://scontent.xx.fbcdn.net/v/t1.15752-9/93088148_260667535096586_5162228618784407552_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=x7wswdCvMn8AX8w1Gx1&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=6b66cfd67139987f2f1390eeb9aed46d&oe=5EB7E07A']""]",action_handle_send_link_only,,Bạn đang tìm kiếm thông tin gì ạ?,"[{'object_type': 'bang_ve', 'product_id': '2293', 'product_name': 'BẢNG VẼ HOLLA 2 in 1', }]",
